2018-10-26 11:00:45.898  [Debug]  [logger.go:45] try to Rlock: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:45.899  [Debug]  [logger.go:45] Rlocked: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:45.899  [Debug]  [logger.go:45] try to UnRLock: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:45.899  [Debug]  [logger.go:45] UnRLocked: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:46.805  [Debug]  [logger.go:45] try to Rlock: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:46.805  [Debug]  [logger.go:45] Rlocked: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:46.805  [Debug]  [logger.go:45] try to UnRLock: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:46.806  [Debug]  [logger.go:45] UnRLocked: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:46.808  [Debug]  [logger.go:45] try to Rlock: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:46.808  [Debug]  [logger.go:45] Rlocked: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:46.808  [Debug]  [logger.go:45] try to UnRLock: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:46.808  [Debug]  [logger.go:45] UnRLocked: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] try to Rlock: 0xc4200ba180, with msg: QueryBlockByHeight
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] Rlocked: 0xc4200ba180, with msg: QueryBlockByHeight
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] try to UnRLock: 0xc4200ba180, with msg: QueryBlockByHeight
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] UnRLocked: 0xc4200ba180, with msg: QueryBlockByHeight
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] try to Rlock: 0xc4200ba180, with msg: QueryBlockByHeight
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] Rlocked: 0xc4200ba180, with msg: QueryBlockByHeight
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] try to UnRLock: 0xc4200ba180, with msg: QueryBlockByHeight
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] UnRLocked: 0xc4200ba180, with msg: QueryBlockByHeight
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] try to Rlock: 0xc4200ba180, with msg: QueryBlockByHeight
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] Rlocked: 0xc4200ba180, with msg: QueryBlockByHeight
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] try to UnRLock: 0xc4200ba180, with msg: QueryBlockByHeight
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] UnRLocked: 0xc4200ba180, with msg: QueryBlockByHeight
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] try to Rlock: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] Rlocked: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] try to UnRLock: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:46.809  [Debug]  [logger.go:45] UnRLocked: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:47.808  [Debug]  [logger.go:45] try to Rlock: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:47.808  [Debug]  [logger.go:45] Rlocked: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:47.808  [Debug]  [logger.go:45] try to UnRLock: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:47.808  [Debug]  [logger.go:45] UnRLocked: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:48.809  [Debug]  [logger.go:45] try to Rlock: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:48.809  [Debug]  [logger.go:45] Rlocked: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:48.809  [Debug]  [logger.go:45] try to UnRLock: 0xc4200ba180, with msg: QueryTopBlock
2018-10-26 11:00:48.809  [Debug]  [logger.go:45] UnRLocked: 0xc4200ba180, with msg: QueryTopBlock
